	Kingdom	Phylum	Class	Order	Family	Genus	Species
Hu_ASV_1	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_2	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_3	Viridiplantae	NA	NA	NA	NA	NA	NA
Hu_ASV_4	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_5	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_6	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	albicans
Hu_ASV_7	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_8	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_9	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	NA
Hu_ASV_10	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_11	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_12	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_13	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_14	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_15	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	albicans
Hu_ASV_16	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_17	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_18	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_19	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_20	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_21	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_22	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	mucilaginosa
Hu_ASV_23	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	NA
Hu_ASV_24	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_25	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_26	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	sake
Hu_ASV_27	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_28	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_29	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	prosopidis
Hu_ASV_30	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_31	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_32	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_33	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	dubliniensis
Hu_ASV_34	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_35	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_36	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_37	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_38	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_39	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_40	NA	NA	NA	NA	NA	NA	NA
