OTU ID   	domain	phylum	class	order	family	genus	species
39bbb7de175feae763b503f722d01dcbd6ae67c2	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_delicatulum
c90575e411790d8b1ecda088b76a80a79735ebae	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_delicatulum
SH631143.07FU_KX514703_reps_singleton	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_delicatulum
SH001577.07FU_JF770450_refs	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_grevilleae
SH018813.07FU_JX069874_refs	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Toxicocladosporium	Toxicocladosporium_strelitziae
SH010853.07FU_EU707897_refs	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Dissoconiaceae	Dissoconium	Dissoconium_proteae
b6803d6621aea7329a6ed56fb0066008359032b8	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	Cercospora_sesami
1a4ff31ac9358f53021d518d7ca7d2754e8b3797	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana
338693b6bf3105ce034abb50c1b63a4a98856c31	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana
4a0402762b9e85b55f9f8447440ed07057992dbe	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana
7238ec7366ff4fd60f48a495695471d345a411bf	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana
9912899a6b0ba1b90ced8f8002835f15d4de4e03	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana
9bf66f52a0c6a00c11b077ae57c20b54347b4f4f	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana
dd5dcce17b4a5289570a932f7ac2eac72688d059	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana
df4d7fa35f3cff0e100b440b32844fd9473ca878	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana
ede7802627b918cdbf7c1fcfc09788daa6776cb7	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana
SH022055.07FU_KC867794_reps	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	Ramularia_pratensis
fdd7bf97eb40e36c08d64c4820b7e3f3a21b895e	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	unidentified	unidentified
SH014217.07FU_JF700867_refs	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria_brevis
SH022091.07FU_JQ765675_reps_singleton	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	NA	NA
SH014190.07FU_HQ829153_reps	Fungi	Ascomycota	Dothideomycetes	Dothideales	unidentified	unidentified	unidentified
SH028499.07FU_KT389511_refs	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	NA
SH028502.07FU_KT389515_refs	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
SH028503.07FU_JX875945_reps	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
73d3fb61c9f6916e381dd18ee104aa9e7820f0e9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	unidentified
SH011810.07FU_M96663_reps	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	Leptosphaeria_maculans
SH005812.07FU_JX401933_reps	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Chaetosphaeronema	unidentified
SH023255.07FU_DQ068352_reps	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria_silenes-acaulis
SH016219.07FU_EU490095_reps_singleton	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae	Prosthemium	unidentified
SH028249.07FU_KC146356_refs	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_eichhorniae
97cae96c52061ef77781af5822be9d6d65ad5ee7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_longissima
